time,Open,High,Low,Close,Volume
2023-01-01T13:05:00,9222.67,9224.29,9221.76,9222.58,345
2023-01-01T13:07:00,9222.58,9224.2,9221.48,9221.86,855
2023-01-01T13:09:00,9221.86,9222.55,9220.11,9221.25,546
2023-01-01T13:11:00,9221.25,9222.72,9220.78,9221.44,457
2023-01-01T13:13:00,9221.44,9223.35,9220.92,9221.29,765
2023-01-01T13:15:00,9221.29,9221.71,9220.28,9220.74,180
2023-01-01T13:17:00,9220.74,9222.69,9219.41,9221.59,515
2023-01-01T13:19:00,9221.59,9223.21,9220.56,9221.67,153
2023-01-01T13:21:00,9221.67,9222.56,9220.62,9221.31,717
2023-01-01T13:23:00,9221.31,9223.29,9221.0,9221.52,706
2023-01-01T13:25:00,9221.52,9222.21,9219.71,9221.79,947
2023-01-01T13:27:00,9221.79,9222.2,9220.75,9220.86,747
2023-01-01T13:29:00,9220.86,9221.65,9220.48,9220.76,452
2023-01-01T13:31:00,9220.76,9221.31,9219.64,9220.05,868
2023-01-01T13:33:00,9220.05,9220.49,9219.59,9220.47,845
2023-01-01T13:35:00,9220.47,9221.25,9219.22,9220.71,529
2023-01-01T13:37:00,9220.71,9221.75,9218.97,9219.85,150
2023-01-01T13:39:00,9219.85,9220.79,9218.17,9219.72,778
2023-01-01T13:41:00,9219.72,9221.26,9219.39,9219.88,357
2023-01-01T13:43:00,9219.88,9220.8,9218.12,9218.88,982
2023-01-01T13:45:00,9218.88,9219.39,9218.12,9218.23,587
2023-01-01T13:47:00,9218.23,9219.2,9217.91,9218.79,461
2023-01-01T13:49:00,9218.79,9220.33,9218.09,9219.85,933
2023-01-01T13:51:00,9219.85,9221.43,9217.94,9220.93,625
2023-01-01T13:53:00,9220.93,9222.77,9220.08,9221.22,860
2023-01-01T13:55:00,9221.22,9221.7,9219.38,9220.06,107
2023-01-01T13:57:00,9220.06,9221.88,9218.77,9221.07,299
2023-01-01T13:59:00,9221.07,9222.42,9220.61,9222.3,150
2023-01-01T14:01:00,9222.3,9222.99,9221.0,9222.89,823
2023-01-01T14:03:00,9222.89,9223.98,9221.64,9222.99,797
2023-01-01T14:05:00,9222.99,9223.3,9222.6,9222.9,826
2023-01-01T14:07:00,9222.9,9223.28,9221.09,9221.53,750
2023-01-01T14:09:00,9221.53,9221.91,9220.39,9220.82,350
2023-01-01T14:11:00,9220.82,9222.7,9220.25,9220.84,234
2023-01-01T14:13:00,9220.84,9221.84,9218.97,9219.87,961
2023-01-01T14:15:00,9219.87,9220.59,9218.07,9219.03,220
2023-01-01T14:17:00,9219.03,9219.65,9218.35,9219.21,288
2023-01-01T14:19:00,9219.21,9220.59,9217.84,9218.59,308
2023-01-01T14:21:00,9218.59,9219.28,9217.7,9218.6,968
2023-01-01T14:23:00,9218.6,9219.99,9218.12,9219.53,400
2023-01-01T14:25:00,9219.53,9219.91,9218.63,9218.97,992
2023-01-01T14:27:00,9218.97,9219.53,9217.13,9217.91,267
2023-01-01T14:29:00,9217.91,9218.87,9216.17,9216.44,193
2023-01-01T14:31:00,9216.44,9217.54,9215.67,9215.77,856
2023-01-01T14:33:00,9215.77,9216.83,9214.54,9216.76,990
2023-01-01T14:35:00,9216.76,9217.93,9215.72,9217.56,442
2023-01-01T14:37:00,9217.56,9218.33,9215.63,9217.62,194
2023-01-01T14:39:00,9217.62,9218.72,9215.99,9217.14,695
2023-01-01T14:41:00,9217.14,9217.61,9215.62,9217.61,702
2023-01-01T14:43:00,9217.61,9219.52,9216.56,9219.16,107
2023-01-01T14:45:00,9219.16,9220.61,9217.36,9219.39,344
2023-01-01T14:47:00,9219.39,9220.76,9219.08,9219.93,948
2023-01-01T14:49:00,9219.93,9220.37,9218.34,9220.19,860
2023-01-01T14:51:00,9220.19,9221.87,9219.43,9221.08,231
2023-01-01T14:53:00,9221.08,9223.01,9220.2,9222.36,911
