open,high,low,close,volume,time,is_complete
2499.4910919672425,2507.3505077761974,2494.453266436439,2503.5681543820583,3297660,2022-01-03 20:00:00+00:00,True
2506.0330938638804,2510.058655469251,2481.862821507686,2484.292286777632,3542084,2022-01-03 21:00:00+00:00,True
2480.747228023413,2487.314425269977,2477.6078935053074,2485.1474862424393,2150699,2022-01-03 22:00:00+00:00,True
2487.250804676962,2508.1007662440315,2482.5402236054315,2505.9141002635793,4308463,2022-01-03 23:00:00+00:00,True
2510.5335862662287,2516.30933122688,2497.401509831355,2500.490089679364,4220316,2022-01-04 00:00:00+00:00,True
2498.839315101359,2501.7671658531476,2488.333974897585,2489.413640849863,1038778,2022-01-04 01:00:00+00:00,True
2487.3016165147164,2508.7907681887964,2482.753504721449,2504.9073373966735,3884213,2022-01-04 02:00:00+00:00,True
2504.7359741427185,2505.885363032634,2497.5540548798817,2502.3275150232625,4880898,2022-01-04 03:00:00+00:00,True
2496.32455874558,2499.5700803954446,2489.0036259630556,2490.232896932351,3483788,2022-01-04 04:00:00+00:00,True
2488.6762072820047,2490.837355982969,2475.143904058435,2479.5254389873157,3150606,2022-01-04 05:00:00+00:00,True
2474.256228772926,2492.8643457483577,2474.1539098458934,2491.7585492350486,3524760,2022-01-04 06:00:00+00:00,True
2496.3789307649513,2503.6214722153,2492.271863615302,2498.970313259583,1119965,2022-01-04 07:00:00+00:00,True
2500.138011991917,2508.284743711469,2495.1322073989936,2504.5621198704484,2471904,2022-01-04 08:00:00+00:00,True
2500.6320061206425,2506.4631636309805,2498.09257998854,2504.5621198704484,12055968,2022-01-04 09:00:00+00:00,True
2506.5167857018296,2510.7850659563524,2503.826321995372,2510.029395299727,8668756,2022-01-04 10:00:00+00:00,True
2509.419009559853,2527.182756345626,2506.9623452545197,2520.912839280833,10528404,2022-01-04 11:00:00+00:00,True
2516.151186217438,2541.628813616643,2515.5275698314376,2535.59642914311,7096449,2022-01-04 12:00:00+00:00,True
2531.056598839813,2555.3761145603376,2527.3512648985056,2553.461435204997,8208394,2022-01-04 13:00:00+00:00,True
2552.5554055618113,2578.3480960554853,2550.4402127721346,2574.1390386752014,2678438,2022-01-04 14:00:00+00:00,True
2575.951306778312,2601.4533946626198,2570.5068165197426,2597.374945852282,2566994,2022-01-04 15:00:00+00:00,True
2593.556062120519,2624.7025872082495,2593.126069915561,2622.9793039889055,6983940,2022-01-04 16:00:00+00:00,True
2628.56517711351,2654.255604576666,2624.325305433764,2650.80296592576,3175677,2022-01-04 17:00:00+00:00,True
2655.5934448137273,2683.4957754219677,2653.578907144327,2680.7245182148677,9128997,2022-01-04 18:00:00+00:00,True
2684.532133367427,2716.2765241771544,2682.7262629669585,2712.6424866877715,17079840,2022-01-04 19:00:00+00:00,True
2708.0656910789585,2749.7171927974864,2706.1857505699945,2746.470322259744,12750729,2022-01-04 20:00:00+00:00,True
2752.135931804373,2788.277517596664,2749.032481423346,2782.1330041150804,8272534,2022-01-04 21:00:00+00:00,True
2776.637068023591,2823.0916995684165,2773.10326783001,2819.5646431444247,8653116,2022-01-04 22:00:00+00:00,True
2823.2458138355987,2837.2913764590644,2821.4261442658535,2835.5615316899143,11761512,2022-01-04 23:00:00+00:00,True
2832.2376279740174,2835.531555897486,2831.2087521645744,2832.37392316781,19046568,2022-01-05 00:00:00+00:00,True
2835.6366446601314,2840.171394330472,2823.2167004476023,2823.895877061439,7809976,2022-01-05 01:00:00+00:00,True
2823.378312289294,2826.615288422605,2820.9155066136204,2822.7216388294223,6909879,2022-01-05 02:00:00+00:00,True
2823.351763985105,2829.953906123292,2822.370351887196,2829.2244659248377,4095832,2022-01-05 03:00:00+00:00,True
