time,Open,High,Low,Close,Volume
2023-01-01T11:07:00,2057.52,2057.82,2055.64,2055.67,846
2023-01-01T11:09:00,2055.67,2056.4,2055.03,2055.36,601
2023-01-01T11:11:00,2055.36,2056.43,2053.61,2055.28,267
2023-01-01T11:13:00,2055.28,2057.06,2053.91,2055.14,940
2023-01-01T11:15:00,2055.14,2055.56,2053.88,2055.02,802
2023-01-01T11:17:00,2055.02,2056.34,2053.62,2054.5,775
2023-01-01T11:19:00,2054.5,2056.3,2053.47,2054.24,958
2023-01-01T11:21:00,2054.24,2054.8,2052.55,2052.82,985
2023-01-01T11:23:00,2052.82,2053.97,2050.99,2051.83,365
2023-01-01T11:25:00,2051.83,2052.97,2050.9,2051.96,428
2023-01-01T11:27:00,2051.96,2052.4,2049.97,2052.35,570
2023-01-01T11:29:00,2052.35,2052.65,2051.84,2052.42,792
2023-01-01T11:31:00,2052.42,2053.42,2051.63,2051.67,494
2023-01-01T11:33:00,2051.67,2052.18,2051.35,2051.71,359
2023-01-01T11:35:00,2051.71,2052.76,2050.0,2050.57,141
2023-01-01T11:37:00,2050.57,2052.11,2049.97,2050.94,539
2023-01-01T11:39:00,2050.94,2052.87,2050.26,2051.02,579
2023-01-01T11:41:00,2051.02,2051.44,2049.09,2050.74,154
2023-01-01T11:43:00,2050.74,2051.54,2049.14,2049.54,479
2023-01-01T11:45:00,2049.54,2051.27,2047.99,2048.04,694
2023-01-01T11:47:00,2048.04,2049.8,2046.26,2046.68,961
2023-01-01T11:49:00,2046.68,2047.21,2046.29,2046.36,848
2023-01-01T11:51:00,2046.36,2048.09,2045.5,2046.18,894
2023-01-01T11:53:00,2046.18,2047.94,2045.52,2047.33,191
2023-01-01T11:55:00,2047.33,2048.92,2046.89,2047.59,550
2023-01-01T11:57:00,2047.59,2048.59,2046.35,2047.35,925
2023-01-01T11:59:00,2047.35,2049.24,2045.75,2049.03,222
2023-01-01T12:01:00,2049.03,2050.2,2047.72,2048.2,990
2023-01-01T12:03:00,2048.2,2048.84,2046.9,2048.35,429
2023-01-01T12:05:00,2048.35,2049.98,2046.7,2049.84,732
2023-01-01T12:07:00,2049.84,2051.8,2047.88,2049.37,695
2023-01-01T12:09:00,2049.37,2050.65,2047.83,2049.86,311
2023-01-01T12:11:00,2049.86,2050.73,2048.94,2049.34,592
2023-01-01T12:13:00,2049.34,2051.1,2049.04,2049.33,827
2023-01-01T12:15:00,2049.33,2051.01,2048.2,2049.24,214
2023-01-01T12:17:00,2049.24,2049.69,2048.46,2049.46,583
2023-01-01T12:19:00,2049.46,2051.35,2047.9,2049.9,830
2023-01-01T12:21:00,2049.9,2051.2,2048.04,2048.45,396
2023-01-01T12:23:00,2048.45,2049.35,2047.2,2048.9,503
2023-01-01T12:25:00,2048.9,2050.02,2047.53,2048.49,506
2023-01-01T12:27:00,2048.49,2048.92,2048.12,2048.47,849
2023-01-01T12:29:00,2048.47,2050.46,2047.95,2049.88,451
2023-01-01T12:31:00,2049.88,2051.06,2048.45,2050.61,187
2023-01-01T12:33:00,2050.61,2051.77,2049.71,2049.87,295
2023-01-01T12:35:00,2049.87,2051.35,2049.5,2049.54,250
2023-01-01T12:37:00,2049.54,2049.93,2048.13,2049.18,958
2023-01-01T12:39:00,2049.18,2050.66,2048.84,2050.09,546
2023-01-01T12:41:00,2050.09,2051.15,2049.6,2050.17,758
2023-01-01T12:43:00,2050.17,2051.22,2049.64,2049.78,299
2023-01-01T12:45:00,2049.78,2051.52,2047.93,2049.48,825
2023-01-01T12:47:00,2049.48,2050.04,2048.33,2049.32,725
2023-01-01T12:49:00,2049.32,2050.4,2049.02,2049.27,125
2023-01-01T12:51:00,2049.27,2051.0,2048.9,2050.72,414
2023-01-01T12:53:00,2050.72,2052.71,2049.11,2049.47,923
2023-01-01T12:55:00,2049.47,2050.72,2047.62,2048.85,505
2023-01-01T12:57:00,2048.85,2050.81,2048.14,2049.36,129
2023-01-01T12:59:00,2049.36,2050.61,2048.8,2050.13,536
2023-01-01T13:01:00,2050.13,2050.65,2049.14,2049.26,231
2023-01-01T13:03:00,2049.26,2050.39,2048.73,2050.08,296
2023-01-01T13:05:00,2050.08,2051.98,2048.64,2050.79,208
2023-01-01T13:07:00,2050.79,2052.58,2049.35,2049.75,188
2023-01-01T13:09:00,2049.75,2051.19,2048.01,2049.1,238
